MCK0423-037s	0.1531
MIH0423-001s	0.2023
MIH0423-002s	0.2283
MIH0423-003s	0.1893
MIH0423-004s	0.1508
MIH0423-005s	0.2772
MIH0423-006s	0.1878
MIH0423-007s	0.1342
MIH0423-008s	0.2792
MIH0423-009s	0.3178
MIH0423-010s	0.1557
MIH0423-011s	0.2479
MIH0423-012s	0.3530
MIH0423-013s	0.2914
MIH0423-014s	0.2112
MIH0423-015s	0.1664
MIH0423-016s	0.1637
MIH0423-017s	0.1931
MIH0423-018s	0.1621
MIH0423-019s	0.2262
MIH0423-020s	0.2067
MIH0423-021s	0.0783
MIH0423-022s	0.1289
MIH0423-023s	0.1367
MIH0423-024s	0.2499
MIH0423-025s	0.1028
MIH0423-026s	0.3059
MIH0423-027s	0.2358
MIH0423-028s	0.3372
MIH0423-029s	0.1915
MIH0423-030s	0.2994
MIH0423-031s	0.2997
MIH0423-032s	0.1592
MIH0423-033s	0.2154
MIH0423-034s	0.2718
MIH0423-035s	0.1507
MIH0423-036s	0.1279
MIH0423-037s	0.1506
MIH0423-038s	0.1259
MIH0423-039s	0.4207
MIH0423-040s	0.1762
